Aayanas album names,Aayanas album listens count,users album names,users album listens count,artists on last_fm top charts,count of artist occurence on last_fm top charts,Aayanas mean album score,name of Aayanas mean album,Aayanas mean album listens count,Aayanas top album,Aayanas top album listens count 
red,14,red,27,Adele,1,9,red,14,red (taylor's version),14
speak now,12,fearless,24,Arctic Monkeys,1,,,,,
folklore,12,no album,19,Beach House,1,,,,,
fearless,10,midnights,19,Beck,1,,,,,
taylor swift,10,speak now,18,Billie Eilish,1,,,,,
reputation,10,lover,18,Blind Melon,1,,,,,
lover,10,evermore,16,Blue Ã–yster Cult,1,,,,,
1989,6,folklore,16,Bobby Helms,1,,,,,
evermore,5,1989,16,Buffalo Springfield,1,,,,,
1989,4,reputation,14,Childish Gambino,1,,,,,
midnights,4,taylor swift,13,Death Cab for Cutie,1,,,,,
midnights,3,,,"Earth, Wind & Fire",1,,,,,
,,,,Electric Light Orchestra,1,,,,,
,,,,Empire of the Sun,1,,,,,
,,,,Fleet Foxes,1,,,,,
,,,,Fleetwood Mac,1,,,,,
,,,,Foo Fighters,1,,,,,
,,,,Foster the People,1,,,,,
,,,,Frank Ocean,1,,,,,
,,,,Franz Ferdinand,1,,,,,
,,,,Gorillaz,1,,,,,
,,,,Green Day,1,,,,,
,,,,Grizzly Bear,1,,,,,
,,,,Incubus,1,,,,,
,,,,Jimi Hendrix,1,,,,,
,,,,Jimmy Eat World,1,,,,,
,,,,Journey,1,,,,,
,,,,Justin Bieber,1,,,,,
,,,,Lorde,1,,,,,
,,,,M.I.A.,1,,,,,
,,,,M83,1,,,,,
,,,,Mariah Carey,1,,,,,
,,,,Mazzy Star,1,,,,,
,,,,Michael Jackson,1,,,,,
,,,,Modest Mouse,1,,,,,
,,,,Neutral Milk Hotel,1,,,,,
,,,,Phoenix,1,,,,,
,,,,Pixies,1,,,,,
,,,,Portugal. The Man,1,,,,,
,,,,R.E.M.,1,,,,,
,,,,Rage Against the Machine,1,,,,,
,,,,Red Hot Chili Peppers,1,,,,,
,,,,Soundgarden,1,,,,,
,,,,Sublime,1,,,,,
,,,,System of a Down,1,,,,,
,,,,Tears for Fears,1,,,,,
,,,,The Cranberries,1,,,,,
,,,,The Jackson 5,1,,,,,
,,,,The Killers,1,,,,,
,,,,The Rolling Stones,1,,,,,
,,,,The Shins,1,,,,,
,,,,The Verve,1,,,,,
,,,,The White Stripes,1,,,,,
,,,,The xx,1,,,,,
,,,,Third Eye Blind,1,,,,,
,,,,Toto,1,,,,,
,,,,Vampire Weekend,1,,,,,
,,,,Van Morrison,1,,,,,
,,,,Washed Out,1,,,,,
,,,,Yeah Yeah Yeahs,1,,,,,
,,,,a-ha,1,,,,,
,,,,Bon Iver,2,,,,,
,,,,Creedence Clearwater Revival,2,,,,,
,,,,Drake,2,,,,,
,,,,The Cure,2,,,,,
,,,,blink-182,2,,,,,
,,,,MGMT,3,,,,,
,,,,Nirvana,3,,,,,
,,,,Tame Impala,3,,,,,
,,,,The Strokes,3,,,,,
,,,,The Weeknd,3,,,,,
,,,,Weezer,3,,,,,
,,,,Kendrick Lamar,4,,,,,
,,,,Radiohead,7,,,,,
